time;error
10.10433;1.48432e-05
10.10498;-0.000689828
10.10543;-0.000224161
10.10600;0.000955807
10.10694;0.00291773
10.10699;0.00397371
10.10751;0.00480639
10.10808;0.00602567
10.10837;0.00684157
10.10883;0.0083818
10.10976;0.0146242
11.11068;0.0149482
11.11129;0.0287376
11.11190;0.0317993
11.11197;0.0327111
11.11240;0.0285903
11.11307;0.0255212
11.11352;0.0153787
11.11449;0.00775911
11.11450;0.0075228
11.11503;0.0122825
11.11573;0.0234955
11.11584;0.027279
11.11670;0.0282661
11.11704;0.0723216
11.11761;0.099674
11.11803;0.111894
11.11859;0.11831
11.11893;0.127091
11.11957;0.129497
12.12016;0.129866
12.12044;0.125631
12.12094;0.122545
12.12135;0.121814
12.12223;0.117387
12.12293;0.07704
12.12328;0.0606739
12.12375;0.0444126
12.12435;0.040128
12.12468;0.0446051
12.12515;0.057109
12.12564;0.0723094
12.12630;0.0816865
12.12647;0.0828399
12.12717;0.0835144
12.12768;0.0477756
12.12824;0.02222
12.12852;-0.00621396
12.12899;-0.0157964
12.12974;-0.0245248
13.13037;-0.023613
13.13047;-0.0226784
13.13135;-0.014658
13.13176;-0.00809956
13.13220;-0.0025281
13.13267;0.00444655
13.13321;0.0172689
13.13375;0.0218595
13.13397;0.0237845
13.13447;0.0250797
13.13556;0.0339532
13.13588;0.0323296
13.13621;0.0285126
13.13664;0.0251623
13.13717;0.0149675
13.13767;0.00228608
13.13825;-0.0106989
13.13860;-0.0140558
13.13933;-0.0196587
13.13947;-0.01965
14.14086;-0.019369
14.14160;-0.00896968
14.14194;0.000310037
14.14239;0.0119084
14.14249;0.013638
14.14340;0.0280585
14.14388;0.0323993
14.14461;0.0339027
14.14462;0.0320309
14.14519;0.0280234
14.14567;0.0244775
14.14599;0.0235916
14.14678;0.0168249
14.14728;-0.0214427
14.14769;-0.0322925
14.14823;-0.0373758
14.14880;-0.0328678
14.14910;-0.0250921
14.14981;-0.0170088
15.15056;0.00485933
15.15154;0.00695417
15.15198;0.046263
15.15271;0.0619391
15.15324;0.0645327
15.15335;0.0658429
15.15385;0.067621
0.317;0.0943904
0.380;0.0943904
0.434;0.09438
0.485;-0.00224191
0.517;-0.00311246
0.606;-0.00311875
0.648;-0.00555017
0.685;-0.00592546
0.751;-0.00333481
0.801;-0.00167195
0.838;0.00171638
0.888;0.00868941
0.937;0.0114254
0.986;0.0139767
1.1028;0.0153904
1.1092;0.0169266
1.1137;0.0169594
1.1218;0.0157108
1.1222;0.013383
1.1273;0.0116373
1.1321;0.00827016
1.1370;0.007754
1.1454;0.00541114
1.1476;0.00412651
1.1547;0.0030942
1.1591;0.00238169
1.1653;0.00184282
1.1687;0.00164469
1.1784;0.00140697
1.1785;0.00133635
1.1853;0.0011782
1.1869;0.000991091
1.1941;0.000915552
2.2029;0.00080709
2.2030;0.000725759
2.2095;0.00061002
2.2142;0.000526267
2.2195;0.000470644
2.2264;0.00043606
2.2267;0.000393422
2.2342;0.00031508
2.2390;0.00030418
2.2429;0.000265656
2.2497;0.000245343
2.2558;0.00018962
2.2585;0.000178932
2.2647;0.000137359
2.2673;0.000122713
2.2763;9.81992e-05
2.2772;7.78366e-05
2.2850;5.72084e-05
2.2869;3.76286e-05
2.2952;2.24909e-05
2.2969;2.12724e-05
3.3038;1.19235e-05
3.3094;-5.45918e-06
3.3163;-1.21419e-05
3.3189;-1.27418e-05
3.3254;-2.03463e-05
3.3298;-2.92238e-05
